Dataset	Score	Method
SHMs	0.84	BALDR
Leiden	0.86	BALDR
Upadhyay	0.75	BALDR
Canzar	0.73	BALDR
Average	0.79	BALDR
SHMs	0.83	BASIC
Leiden	0.72	BASIC
Upadhyay	0.86	BASIC
Canzar	0.78	BASIC
Average	0.79	BASIC
SHMs	0.96	BRACER
Leiden	0.81	BRACER
Upadhyay	0.54	BRACER
Canzar	0.44	BRACER
Average	0.72	BRACER
SHMs	0.80	MiXCR
Leiden	0.50	MiXCR
Upadhyay	0.51	MiXCR
Canzar	0.66	MiXCR
Average	0.61	MiXCR
SHMs	0.63	VDJpuzzle
Leiden	0.23	VDJpuzzle
Upadhyay	0.37	VDJpuzzle
Canzar	0.44	VDJpuzzle
Average	0.41	VDJpuzzle
SHMs	0.80	TRUST4
Leiden	0.78	TRUST4
Upadhyay	0.54	TRUST4
Canzar	0.66	TRUST4
Average	0.71	TRUST4